object_id,period,period_score
615,0.32449928791353233,0.9540020450478078
1227,0.2427284603099533,0.09964653319519477
1926,0.12005195296062561,0.2273654409744327
2624,371.49270841875773,0.04072679564707342
2677,0.8311040415270666,0.20589357676147985
4171,0.16650166777803024,0.3469745449945302
6266,0.49093188285756423,0.12118343598933606
7566,0.21380514866734632,0.2730501850710307
7756,0.17993013026668858,0.18188232558997064
8688,0.1746445201581449,0.048596398264271014
8784,0.5612521961653599,0.8045268051258314
9006,1.0534743197792509,0.136781019683047
9172,0.9973726436108833,0.2198343895300491
9543,14.218582843929752,0.24197458455108667
9985,0.10592828050303055,0.029552167031941003
10349,0.3735642629025647,0.06492164400284886
10796,381.33205848129427,0.08227747122280699
11165,0.20959993635644308,0.9913637940322916
11931,0.5183956147449612,0.1587878877907358
12695,0.6258967129599431,0.7360305982175478
12872,0.40922535583673475,0.09751280384739394
14080,0.9947186103687357,0.25683884030884496
14156,0.4992740656513784,0.10916588246315989
15475,0.2712050949135318,0.02840132445795124
15626,0.1838767234633438,0.08500625347550278
15700,0.13030782766277174,0.523057726859739
16339,0.12944847644003388,0.06523402064115172
16349,2.2102202985251385,0.2556082740782362
17094,0.12909987616349275,0.14246899728504095
17172,0.12391682003715604,0.0652757233864002
18556,0.9986139572296019,0.5892874428960907
22574,2.2098774014741864,0.39558148739375526
23795,0.18850196237713834,0.2398992080830552
24236,0.501357689689229,0.1624530058147453
24849,0.5161084546208986,0.22355622735622735
24903,0.24458762137388368,0.11729030768809619
25920,0.7216624123296339,0.5794105079783953
26161,0.5577058489009074,0.7778433143409516
26352,1.0351314064935444,0.03072537505951077
26401,0.3828482914984913,0.5614894049655837
26660,0.3304899327304397,0.04451502070258285
26783,0.6990537502178212,0.7753632558431733
27124,0.5612494847979366,0.6625489606980148
28391,0.6131990391957466,0.8142833461903267
28915,0.6623136459717507,0.5061492374001775
30066,0.7609954705438563,0.10645164358694277
30505,0.20959942232464712,0.9797072464124786
30576,0.10960501372997582,0.12898245884003978
30673,0.1463010413414544,0.1421176744536216
30895,0.1631135742092014,0.048921568069952875
31033,0.509308029248075,0.07726296389912449
31310,0.38790096058948614,0.9643587830816676
31605,0.10369661030733551,0.10394803410460403
32238,0.3721737033800358,0.2848952344854764
32375,0.15962130515133785,0.07410191330593432
33409,0.9943324068173236,0.11737912554739838
35555,0.9970871237080655,0.23874443063704381
36337,0.4993228199607258,0.13381147354947664
36362,0.3364981000591856,0.11939876860487811
36671,0.14257309874834653,0.14864243932228816
37168,0.12301996653581172,0.11892977454585171
37776,0.1713731622095868,0.16745988494002015
38244,0.10380340582745831,0.12877674029414218
38730,0.171449793813212,0.16408246487117067
39223,0.15873971095176398,0.17811095269529598
42689,0.21321100056037612,0.049911301908099504
42776,0.3828500064985052,0.5143272708460711
43413,0.14630050244081794,0.146858409619189
43509,0.6469969183234247,0.7892328312657988
44480,0.1714516638791915,0.1871642693655877
44836,0.5168125651646465,0.10504000781841213
45115,0.2314912680689616,0.20681534231727242
45203,0.3828585817290543,0.6034282755546324
46210,0.3162581590814976,0.06506008280184716
46567,0.49925579880297855,0.05313942565358089
46958,0.9321841217263449,0.15386753800264058
48426,0.266102703674331,0.03992302444689162
48981,0.10017279298484558,0.31229701352987804
49219,0.12007173265859014,0.17881425252434574
49389,0.5985840407099025,0.8336210301510548
49783,0.5072202100151704,0.12066492186402926
51987,0.642408737518845,0.8028629595265316
52370,0.1995640235386228,0.15947966366747232
53025,0.5186870617528274,0.10609458755171683
53525,1.1136901843437677,0.4352820741725444
53938,0.2508703462938504,0.08175277194143102
54915,0.2488646375349126,0.1813926822762047
55018,0.27090945460073884,0.1450104759005565
55141,0.9975018757120439,0.14578492052110842
55155,0.24369042033530272,0.0430036395544444
55946,1.032016967890392,0.1428121338882495
56245,0.14559963695282233,0.25784242164539023
