object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target
130779837,349.046051,-61.943836,320.79652999999996,-51.753706,1,0.0,0.0,0.0,,0.017,92
130779838,35.683594,-5.379379,171.992947,-59.253501,1,0.0,0.0,0.0,,0.02,65
130779839,149.414062,1.940072,236.565366,41.393322999999995,1,0.0,0.0,0.0,,0.018000000000000002,65
130779840,346.65518199999997,-63.260487,320.952196,-50.040935,1,0.0,0.0,0.0,,0.019,65
130779841,53.96484399999999,-28.630989000000003,225.14295,-53.813613000000004,1,0.0,0.0,0.0,,0.009000000000000001,16
130779842,2.097458,-45.783966,324.73784,-69.478613,1,0.0,0.0,0.0,,0.011000000000000001,16
130779843,0.929752,-44.597992,328.53142599999995,-70.083244,1,0.0,0.0,0.0,,0.011000000000000001,65
130779844,359.44671600000004,-44.20153,331.730015,-69.805709,1,0.0,0.0,0.0,,0.01,16
130779845,149.414062,2.238686,236.239766,41.565558,1,0.0,0.0,0.0,,0.017,16
130779846,32.695312,-4.929937000000001,166.868469,-60.84123,1,0.0,0.0,0.0,,0.018000000000000002,65
130779847,34.101562,-5.829153,170.247753,-60.638325,1,0.0,0.0,0.0,,0.019,16
130779848,34.277344,-5.079716,169.526841,-59.95664,1,0.0,0.0,0.0,,0.019,65
130779849,346.65518199999997,-63.260487,320.952196,-50.040935,1,0.0,0.0,0.0,,0.019,65
130779850,352.132874,-63.636005000000004,317.424173,-51.095855,1,0.0,0.0,0.0,,0.021,65
130779851,150.820312,3.7328339999999995,235.66631800000002,43.572109000000005,1,0.0,0.0,0.0,,0.016,65
130779852,34.980469,-6.279287999999999,172.180075,-60.389399,1,0.0,0.0,0.0,,0.023,65
130779853,52.91015600000001,-25.944481,220.36635,-54.301439,1,0.0,0.0,0.0,,0.01,65
130779854,150.996094,2.985506,236.647967,43.28735,1,0.0,0.0,0.0,,0.02,16
130779855,149.589844,3.583322,234.885369,42.474696,1,0.0,0.0,0.0,,0.024,65
130779856,51.855469,-28.630989000000003,224.73326,-55.649871999999995,1,0.0,0.0,0.0,,0.009000000000000001,92
130779857,347.861847,-61.943836,321.519104,-51.424048,1,0.0,0.0,0.0,,0.017,65
130779858,150.996094,4.181528,235.291975,43.970869,1,0.0,0.0,0.0,,0.015,65
130779859,53.085938,-27.111859999999997,222.38429100000002,-54.355086,1,0.0,0.0,0.0,,0.006999999999999999,65
130779860,351.382965,-64.011238,317.574052,-50.604657,1,0.0,0.0,0.0,,0.023,65
130779861,346.130127,-63.07261999999999,321.42310299999997,-50.042305,1,0.0,0.0,0.0,,0.02,16
130779862,359.415588,-46.768478,327.729895,-67.686097,1,0.0,0.0,0.0,,0.009000000000000001,16
130779863,51.328125,-27.447618,222.535046,-55.950727,1,0.0,0.0,0.0,,0.013000000000000001,16
130779864,150.820312,3.1349270000000002,236.341348,43.230123,1,0.0,0.0,0.0,,0.016,16
130779865,52.207031,-28.29155,224.208534,-55.30015699999999,1,0.0,0.0,0.0,,0.006999999999999999,16
130779866,53.4375,-29.142222999999998,225.90812000000003,-54.336118000000006,1,0.0,0.0,0.0,,0.008,16
130779867,51.855469,-26.276812,220.62703100000002,-55.293792,1,0.0,0.0,0.0,,0.013999999999999999,6
130779868,150.996094,2.985506,236.647967,43.28735,1,0.0,0.0,0.0,,0.02,16
130779869,51.855469,-26.276812,220.62703100000002,-55.293792,1,0.0,0.0,0.0,,0.013999999999999999,65
130779870,346.65518199999997,-63.260487,320.952196,-50.040935,1,0.0,0.0,0.0,,0.019,65
130779871,53.085938,-27.111859999999997,222.38429100000002,-54.355086,1,0.0,0.0,0.0,,0.006999999999999999,16
130779872,52.03125,-26.443334999999998,220.96366899999998,-55.16855699999999,1,0.0,0.0,0.0,,0.013999999999999999,65
130779873,150.644531,3.583322,235.698235,43.342784,1,0.0,0.0,0.0,,0.018000000000000002,16
130779874,359.415588,-46.768478,327.729895,-67.686097,1,0.0,0.0,0.0,,0.009000000000000001,92
